Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Alameda Hospital,Alameda,247,"2,526","12,168","$721,065"
Alhambra Hospital Medical Center,Alhambra,144,"4,262","19,561","$548,567"
Anaheim Community Hospital,Anaheim,98,"1,690","31,918","$77,565"
Anaheim Global Medical Center,Anaheim,189,"1,374","13,632","$291,059"
Anaheim Regional Medical Center,Anaheim,223,"5,869","24,429","$843,025"
Orange County - Anaheim Medical Center,Anaheim,531,"26,244","111,973","$4,584,064"
West Anaheim Medical Center,Anaheim,219,"6,994","32,283","$757,096"
Antioch Medical Center,Antioch,144,"9,306","36,118","$2,095,140"
Sutter Delta Medical Center,Antioch,119,"6,420","25,732","$1,091,360"
Providence Saint Mary Medical Center,Apple Valley,214,"13,583","63,708","$2,200,436"
USC Arcadia Hospital,Arcadia,348,"14,674","69,442","$2,137,897"
Mad River Community Hospital,Arcata,49,778,"3,550","$260,948"
Dignity Health - Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331","$542,368"
Sutter Auburn Faith Hospital,Auburn,64,"3,659","13,548","$680,702"
Adventist Health Bakersfield,Bakersfield,254,"20,274","74,715","$3,845,903"
Adventist Health Specialty Bakersfield,Bakersfield,47,"2,090","8,548","$345,890"
Bakersfield Memorial Hospital,Bakersfield,385,"16,204","76,993","$2,825,039"
Good Samaritan Hospital,Bakersfield,64,"2,641","6,351","$130,406"
Kern Medical Center,Bakersfield,222,"11,004","63,912","$1,416,183"
Mercy Downtown Hospital,Bakersfield,229,"11,654","47,924","$1,892,845"
Mercy Hospital Southwest,Bakersfield,0,0,0,$0
Baldwin Park Medical Center,Baldwin Park,271,"11,421","48,153","$2,671,953"
San Gorgonio Memorial Hospital,Banning,79,"2,820","9,700","$552,000"
Barstow Community Hospital,Barstow,30,"1,852","6,453","$644,246"
Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,$0
Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,379,"11,434","59,650","$2,076,048"
Pioneers Memorial Hospital,Brawley,206,"6,171","20,378","$537,405"
Providence Saint Joseph Medical Center,Burbank,383,"15,900","74,372","$3,118,504"
Mills-Peninsula Medical Center,Burlingame,301,"12,607","56,563","$2,548,857"
St. John's Hospital Camarillo,Camarillo,132,"3,733","14,929","$586,625"
Naval Hospital Camp Pendleton,Camp Pendleton,0,0,0,$0
Mercy San Juan Medical Center,Carmichael,384,"20,635","105,297","$3,879,920"
Eden Medical Center,Castro Valley,126,"8,752","43,265","$1,532,126"
Enloe Health,Chico,268,"16,893","74,843","$5,129,154"
Chino Valley Medical Center,Chino,112,"4,520","16,190","$525,806"
Scripps Mercy Hospital Chula Vista,Chula Vista,173,"9,592","47,697","$310,012"
Sharp Chula Vista Medical Center,Chula Vista,449,"21,631","94,554","$4,060,193"
Clovis Community Medical Center,Clovis,352,"22,833","117,824","$3,961,444"
Arrowhead Regional Medical Center,Colton,456,"19,883","121,606","$3,319,685"
Colusa Medical Center,Colusa,48,742,"2,066","$108,141"
Concord Medical Center,Concord,247,"11,824","58,230","$5,662,944"
Corona Regional Medical Center,Corona,259,"9,564","36,823","$2,259,980"
Sharp Coronado Hospital,Coronado,181,"2,882","10,424","$872,238"
College Hospital Costa Mesa,Costa Mesa,122,"4,195","41,112","$112,156"
Emanate Health Inter-Community Hospital,Covina,516,"22,871","108,830","$2,793,704"
Sutter Coast Hospital,Crescent City,49,"1,942","7,735","$370,723"
Southern California Hospital at Culver City,Culver City,406,"7,021","35,870","$661,412"
AHMC Seton Medical Center,Daly City,354,"2,168","30,640","$942,261"
Sutter Davis Hospital,Davis,57,"4,467","15,817","$691,420"
Adventist Health Delano,Delano,113,"1,821","6,159","$263,970"
Downey Medical Center,Downey,424,"19,017","91,521","$3,770,551"
PIH Health Downey Hospital,Downey,165,"8,922","34,349","$1,414,729"
Rancho Los Amigos National Rehabilitation Center,Downey,158,"1,255","12,033","$917,844"
Duarte Cancer Center,Duarte,234,"10,073","78,619","$10,917,379"
El Centro Regional Medical Center,El Centro,161,"3,194","15,134","$684,343"
Scripps Memorial Hospital Encinitas,Encinitas,174,"13,758","56,237","$2,559,894"
Encino Hospital Medical Center,Encino,148,"1,382","6,295","$261,957"
Palomar Medical Center Escondido,Escondido,292,"29,984","97,123","$4,634,163"
Providence Saint Joseph Hospital Eureka,Eureka,142,"7,066","36,616","$2,051,187"
NorthBay Medical Center,Fairfield,178,"10,531","50,922","$4,842,811"
Mercy Hospital of Folsom,Folsom,106,"7,552","28,442","$1,302,062"
Fontana Medical Center,Fontana,664,"32,305","145,157","$5,870,345"
Weed Army Community Hospital - Fort Irwin,Fort Irwin,0,0,0,$0
Orange Coast Medical Center,Fountain Valley,221,"11,787","53,236","$3,201,060"
UCI Health -Fountain Valley,Fountain Valley,400,"16,700","87,094","$3,833,709"
Fremont Medical Center,Fremont,100,"4,476","23,452","$1,431,857"
Washington Health,Fremont,415,"12,114","62,601","$2,715,069"
San Joaquin General Hospital,French Camp,152,"9,444","50,928","$2,505,810"
Community Regional Medical Center,Fresno,873,"40,703","256,720","$6,948,302"
Fresno Heart & Surgical Hospital,Fresno,57,"3,127","11,353","$331,411"
Fresno Surgical Hospital,Fresno,27,938,"1,835","$345,696"
Fresno VA Medical Center,Fresno,0,0,0,$0
Kaiser Permanente Fresno Medical Center,Fresno,169,"7,849","30,296","$2,049,372"
Saint Agnes Medical Center,Fresno,401,"27,211","100,438","$2,903,651"
Providence Saint Jude Medical Center,Fullerton,320,"15,854","77,903","$3,675,898"
Garden Grove Hospital and Medical Center,Garden Grove,167,"3,156","13,881","$319,339"
Memorial Hospital of Gardena,Gardena,172,"5,544","26,334","$821,632"
Saint Louise Regional Hospital,Gilroy,72,"3,023","11,489","$487,767"
Adventist Health Glendale,Glendale,446,"16,907","82,449","$3,864,319"
Glendale Memorial Hospital,Glendale,285,"8,686","36,440","$1,414,630"
USC Verdugo Hills Hospital,Glendale,158,"5,286","19,946","$998,022"
Emanate Health Foothill Presbyterian Hospital,Glendora,105,"5,444","28,061","$818,678"
Sierra Nevada Memorial Hospital,Grass Valley,104,"4,511","18,847","$885,601"
MarinHealth Medical Center,Greenbrae,327,"9,783","47,014","$4,036,019"
Adventist Health Hanford,Hanford,235,"8,163","42,279","$1,824,860"
South Bay Medical Center,Harbor City,257,"12,463","54,866","$2,419,280"
St. Rose Hospital,Hayward,155,"3,207","11,540","$445,014"
Hemet Global Medical Center,Hemet,309,"6,707","36,345","$781,225"
Southern California Hospital at Hollywood,Hollywood,569,"19,312","108,428","$1,807,414"
Huntington Beach Hospital,Huntington Beach,131,"2,211","11,342","$287,563"
Community Hospital of Huntington Park,Huntington Park,81,"3,835","14,145","$449,459"
JFK Memorial Hospital,Indio,130,"6,787","20,073","$1,817,488"
Centinela Hospital Medical Center,Inglewood,314,"15,788","71,788","$1,266,096"
Hoag Hospital Irvine,Irvine,0,0,0,$0
Hoag Orthopedic Institute,Irvine,70,"1,778","3,975","$535,876"
Orange County-Irvine Medical Center,Irvine,0,0,0,$0
Sutter Amador Hospital,Jackson,52,"2,356","9,247","$369,697"
Hi-Desert Medical Center,Joshua Tree,175,"2,178","6,968","$618,049"
Jacobs Medical Center at UC San Diego Health,La Jolla,0,0,0,$0
Scripps Green Hospital,La Jolla,150,"6,325","28,979","$2,644,906"
Scripps Memorial Hospital La Jolla,La Jolla,372,"26,377","113,691","$6,424,293"
Sharp Grossmont Hospital,La Mesa,562,"29,075","126,608","$5,824,370"
La Palma Intercommunity Hospital,La Palma,138,"2,984","11,519","$252,040"
Providence Mission Hospital Laguna Beach,Laguna Beach,189,"3,028","14,617","$246,219"
Saddleback Medical Center,Laguna Hills,248,"10,953","46,522","$2,402,619"
UCI Health-Lakewood,Lakewood,172,"7,979","54,816","$2,802,227"
Antelope Valley Medical Center,Lancaster,393,"18,406","93,072","$2,328,872"
Naval Health Clinic Lemoore,Lemoore,0,0,0,$0
Stanford Health Care Tri-Valley,Livermore,166,"7,598","37,984","$3,958,553"
Adventist Health Lodi Memorial,Lodi,194,"7,154","32,497","$2,297,751"
Jerry L. Pettis Memorial Veterans' Hospital,Loma Linda,0,0,0,$0
Loma Linda University Children's Hospital,Loma Linda,364,"12,753","94,619","$3,129,865"
Loma Linda University Medical Center,Loma Linda,570,"19,120","149,493","$9,429,708"
Loma Linda University Medical Center East Campus,Loma Linda,0,0,0,$0
Lompoc Valley Medical Center,Lompoc,170,"2,059","8,903","$433,683"
College Medical Center,Long Beach,220,"7,922","61,657","$271,696"
