Hospital Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue 
Adventist Health White Memorial,Los Angeles,390,22631.00,98655.00,4652526.00
California Hospital Medical Center,Los Angeles,318,14346.00,78114.00,1865705.00
Cedars-Sinai Medical Center,Los Angeles,913,51618.00,302122.00,30549738.00
CHA Hollywood Presbyterian Medical Center,Los Angeles,434,12444.00,62518.00,1580028.00
Docs Surgical Hospital,Los Angeles,17,338.00,403.00,67608.00
East Los Angeles Doctors Hospital,Los Angeles,127,3130.00,11066.00,352277.00
LA Downtown Medical Center Downtown Campus,Los Angeles,315,6575.00,65340.00,343087.00
Los Angeles Community Hospital,Los Angeles,212,11624.00,51244.00,875685.00
Los Angeles General Medical Center,Los Angeles,603,29727.00,150666.00,4952464.00
Los Angeles Medical Center,Los Angeles,560,22329.00,127070.00,4324839.00
"Martin Luther King, Jr. Community Hospital",Los Angeles,152,9468.00,52211.00,4374292.00
PIH Health Good Samaritan Hospital,Los Angeles,331,10418.00,45213.00,1607786.00
Ronald Reagan UCLA Medical Center,Los Angeles,446,22799.00,181776.00,8527737.00
The Keck Hospital of USC,Los Angeles,323,12230.00,85059.00,5300177.00
UCLA Mattel Children's Hospital,Los Angeles,0,0.00,0.00,0.00
USC Norris Comprehensive Cancer Center,Los Angeles,60,1545.00,16819.00,2163611.00
West Los Angeles Medical Center,Los Angeles,265,10429.00,43938.00,2331332.00
West Los Angeles VA Medical Center,Los Angeles,0,0.00,0.00,0.00
