Hospital Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue 
Chinese Hospital,San Francisco,81.00,1134.00,4920.00,270421.00
CPMC Davies Campus,San Francisco,209.00,3751.00,16801.00,892619.00
CPMC Mission Bernal Campus & Orthopedic Institute,San Francisco,120.00,5309.00,23490.00,706019.00
CPMC Van Ness Campus,San Francisco,274.00,15180.00,86968.00,3196043.00
Kaiser Permanente San Francisco Medical Center,San Francisco,239.00,11704.00,60634.00,2524746.00
Laguna Honda Hospital and Rehabilitation Center,San Francisco,780.00,193.00,948.00,313682.00
San Francisco VA Medical Center,San Francisco,0.00,0.00,0.00,0.00
UCSF Betty Irene Moore Women's Hospital,San Francisco,0.00,0.00,0.00,0.00
UCSF Health Hyde Hospital,San Francisco,226.00,2753.00,16366.00,905762.00
UCSF Health Stanyan Hospital,San Francisco,158.00,4495.00,22666.00,976511.00
UCSF Helen Diller Medical Center at Parnassus Heights,San Francisco,887.00,35954.00,280181.00,24666248.00
UCSF Mission Bay Campus,San Francisco,0.00,0.00,0.00,0.00
Zuckerberg San Francisco General Hospital and Trauma Center,San Francisco,397.00,13909.00,89854.00,4472723.00
